날짜,카페
2019-01-01,18.91593
2019-02-01,16.54979
2019-03-01,18.14633
2019-04-01,17.91258
2019-05-01,17.78174
2019-06-01,17.89862
2019-07-01,19.57087
2019-08-01,21.80838
2019-09-01,18.87257
2019-10-01,21.97597
2019-11-01,21.81279
2019-12-01,22.56769
2020-01-01,24.14218
2020-02-01,23.5071
2020-03-01,26.81926
2020-04-01,26.79059
2020-05-01,31.74487
2020-06-01,29.69627
2020-07-01,33.0665
2020-08-01,39.4093
2020-09-01,27.72558
2020-10-01,33.60309
2020-11-01,30.49675
2020-12-01,21.12625
2021-01-01,33.15838
2021-02-01,33.75599
2021-03-01,38.63161
2021-04-01,40.69786
2021-05-01,47.07815
2021-06-01,43.51092
2021-07-01,48.0815
2021-08-01,51.85748
2021-09-01,49.15174
2021-10-01,54.09499
2021-11-01,46.79735
2021-12-01,43.17647
2022-01-01,52.23089
2022-02-01,46.78559
2022-03-01,49.93237
2022-04-01,62.35409
2022-05-01,73.97239
2022-06-01,70.06483
2022-07-01,79.08838
2022-08-01,79.91679
2022-09-01,64.75478
2022-10-01,83.59868
2022-11-01,68.94093
2022-12-01,69.23715
2023-01-01,84.27641
2023-02-01,81.01129
2023-03-01,86.68813
2023-04-01,87.99432
2023-05-01,94.12837
2023-06-01,86.24268
2023-07-01,90.14804
2023-08-01,100.0
2023-09-01,86.94907
2023-10-01,88.38831
2023-11-01,72.28323
2023-12-01,82.9217
