"통계분류(1)","통계분류(2)","시점",항목,데이터
"성별","남자","2018",교통수단(항공 선박 철도 버스 등),36.6
"성별","남자","2018",레저시설(놀이시설 스파 스키장 골프장 등),20.8
"성별","남자","2018",식당,26.3
"성별","남자","2018",관광명소(유적지 국립공원 등),11.9
"성별","남자","2018",차량대여/렌트,29.5
"성별","남자","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),4.2
"성별","남자","2018",기타,1.2
"성별","남자","2019",교통수단(항공 선박 철도 버스 등),29.3
"성별","남자","2019",레저시설(놀이시설 스파 스키장 골프장 등),30.4
"성별","남자","2019",식당,23.3
"성별","남자","2019",관광명소(유적지 국립공원 등),9.5
"성별","남자","2019",차량대여/렌트,9.4
"성별","남자","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),6.4
"성별","남자","2019",기타,3.8
"성별","남자","2020",교통수단(항공 선박 철도 버스 등),2.8
"성별","남자","2020",레저시설(놀이시설 스파 스키장 골프장 등),2
"성별","남자","2020",식당,1.8
"성별","남자","2020",관광명소(유적지 국립공원 등),0.2
"성별","남자","2020",차량대여/렌트,0.5
"성별","남자","2020",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"성별","남자","2020",기타,0.2
"성별","남자","2020",사전 예약하지 않았음,92.7
"성별","남자","2021",교통수단(항공 선박 철도 버스 등),1.3
"성별","남자","2021",레저시설(놀이시설 스파 스키장 골프장 등),1.6
"성별","남자","2021",식당,1.1
"성별","남자","2021",관광명소(유적지 국립공원 등),0.5
"성별","남자","2021",차량대여/렌트,0.2
"성별","남자","2021",체험 프로그램(농어촌 체험 생태체험 학습 등),0.2
"성별","남자","2021",기타,0.1
"성별","남자","2021",사전 예약하지 않았음,95.3
"성별","남자","2022",교통수단(항공 선박 철도 버스 등),1.9
"성별","남자","2022",레저시설(놀이시설 스파 스키장 골프장 등),2.4
"성별","남자","2022",식당,1.1
"성별","남자","2022",관광명소(유적지 국립공원 등),0.5
"성별","남자","2022",차량대여/렌트,0.5
"성별","남자","2022",체험 프로그램(농어촌 체험 생태체험 학습 등),0.3
"성별","남자","2022",기타,0.2
"성별","남자","2022",사전 예약하지 않았음,93.4
"성별","여자","2018",교통수단(항공 선박 철도 버스 등),33.7
"성별","여자","2018",레저시설(놀이시설 스파 스키장 골프장 등),18.2
"성별","여자","2018",식당,28.2
"성별","여자","2018",관광명소(유적지 국립공원 등),18.5
"성별","여자","2018",차량대여/렌트,29.2
"성별","여자","2018",체험 프로그램(농어촌 체험 생태체험 학습 등),4.9
"성별","여자","2018",기타,3.1
"성별","여자","2019",교통수단(항공 선박 철도 버스 등),38.6
"성별","여자","2019",레저시설(놀이시설 스파 스키장 골프장 등),19.9
"성별","여자","2019",식당,26.5
"성별","여자","2019",관광명소(유적지 국립공원 등),11
"성별","여자","2019",차량대여/렌트,8.2
"성별","여자","2019",체험 프로그램(농어촌 체험 생태체험 학습 등),6.9
"성별","여자","2019",기타,3.6
"성별","여자","2020",교통수단(항공 선박 철도 버스 등),2.4
"성별","여자","2020",레저시설(놀이시설 스파 스키장 골프장 등),1.2
"성별","여자","2020",식당,1.9
"성별","여자","2020",관광명소(유적지 국립공원 등),0.6
"성별","여자","2020",차량대여/렌트,0.2
