"통계분류(1)","통계분류(2)","시점",항목,데이터
"성별","남자","2018",레저시설,34.7
"성별","남자","2018",교통(항공 선박 철도 버스 등),50.6
"성별","남자","2018",차량대여/렌트,12.7
"성별","남자","2018",기타,22.4
"성별","남자","2019",레저시설,53.1
"성별","남자","2019",교통(항공 선박 철도 버스 등),27
"성별","남자","2019",차량대여/렌트,12.5
"성별","남자","2019",기타,8.4
"성별","남자","2020",레저시설,100
"성별","남자","2021",레저시설,94
"성별","남자","2021",차량대여/렌트,6
"성별","남자","2022",레저시설,72.2
"성별","남자","2022",교통(항공 선박 철도 버스 등),29.6
"성별","남자","2022",차량대여/렌트,12.4
"성별","여자","2018",레저시설,38.5
"성별","여자","2018",교통(항공 선박 철도 버스 등),51.6
"성별","여자","2018",기타,9.9
"성별","여자","2019",레저시설,51.1
"성별","여자","2019",교통(항공 선박 철도 버스 등),36
"성별","여자","2019",차량대여/렌트,13.5
"성별","여자","2019",기타,7.2
"성별","여자","2020",레저시설,19.7
"성별","여자","2020",교통(항공 선박 철도 버스 등),89.8
"성별","여자","2021",레저시설,29.4
"성별","여자","2021",교통(항공 선박 철도 버스 등),32.4
"성별","여자","2021",차량대여/렌트,25.7
"성별","여자","2021",기타,12.5
"성별","여자","2022",레저시설,32.7
"성별","여자","2022",교통(항공 선박 철도 버스 등),68.8
"성별","여자","2022",차량대여/렌트,15.2
"연령","15~19세","2018",레저시설,47.4
"연령","15~19세","2018",교통(항공 선박 철도 버스 등),22.3
"연령","15~19세","2018",기타,30.3
"연령","15~19세","2019",레저시설,100
"연령","15~19세","2020",레저시설,100
"연령","15~19세","2021",레저시설,100
"연령","20대","2018",레저시설,88
"연령","20대","2018",기타,12
"연령","20대","2019",레저시설,77.3
"연령","20대","2019",교통(항공 선박 철도 버스 등),11
"연령","20대","2019",차량대여/렌트,14.7
"연령","20대","2019",기타,6.6
"연령","20대","2020",레저시설,62.4
"연령","20대","2020",교통(항공 선박 철도 버스 등),58.7
"연령","20대","2021",레저시설,100
"연령","20대","2022",레저시설,100
"연령","30대","2018",레저시설,57.1
"연령","30대","2018",기타,42.9
"연령","30대","2019",레저시설,59
"연령","30대","2019",교통(항공 선박 철도 버스 등),21.1
"연령","30대","2019",기타,19.9
"연령","30대","2020",레저시설,15.9
"연령","30대","2020",교통(항공 선박 철도 버스 등),84.1
"연령","30대","2021",레저시설,87.6
"연령","30대","2021",차량대여/렌트,12.4
"연령","30대","2022",레저시설,100
"연령","40대","2018",교통(항공 선박 철도 버스 등),100
"연령","40대","2019",레저시설,63
"연령","40대","2019",교통(항공 선박 철도 버스 등),37
"연령","40대","2020",레저시설,57.3
"연령","40대","2020",교통(항공 선박 철도 버스 등),42.7
"연령","40대","2021",레저시설,59.1
"연령","40대","2021",기타,40.9
"연령","40대","2022",레저시설,8.8
"연령","40대","2022",교통(항공 선박 철도 버스 등),59.9
"연령","40대","2022",차량대여/렌트,31.2
"연령","50대","2018",교통(항공 선박 철도 버스 등),100
"연령","50대","2019",레저시설,8.4
"연령","50대","2019",교통(항공 선박 철도 버스 등),56.7
"연령","50대","2019",차량대여/렌트,31.7
"연령","50대","2019",기타,9.9
"연령","50대","2020",교통(항공 선박 철도 버스 등),100
"연령","50대","2021",차량대여/렌트,100
"연령","50대","2022",레저시설,21.9
"연령","50대","2022",교통(항공 선박 철도 버스 등),78.1
"연령","60대","2018",레저시설,29
"연령","60대","2018",교통(항공 선박 철도 버스 등),86
"연령","60대","2018",차량대여/렌트,21.6
"연령","60대","2018",기타,14
"연령","60대","2019",교통(항공 선박 철도 버스 등),87
"연령","60대","2019",차량대여/렌트,13
"연령","60대","2021",교통(항공 선박 철도 버스 등),100
"연령","60대","2022",레저시설,34.2
"연령","60대","2022",교통(항공 선박 철도 버스 등),100
"연령","70세 이상","2018",교통(항공 선박 철도 버스 등),100
"연령","70세 이상","2018",차량대여/렌트,100
"연령","70세 이상","2019",교통(항공 선박 철도 버스 등),100
"연령","70세 이상","2019",차량대여/렌트,18.2
"연령","70세 이상","2022",레저시설,52.4
"연령","70세 이상","2022",교통(항공 선박 철도 버스 등),52.4
"연령","70세 이상","2022",차량대여/렌트,47.6
