"시점","항목","통계분류(1)",통계분류(2),데이터
"2018","음식점비","성별",남자,47
"2018","음식점비","성별",여자,45.7
"2018","음식점비","연령",15~19세,41.9
"2018","음식점비","연령",20대,48.4
"2018","음식점비","연령",30대,47.9
"2018","음식점비","연령",40대,47
"2018","음식점비","연령",50대,45.9
"2018","음식점비","연령",60대,44.4
"2018","음식점비","연령",70세 이상,45.1
"2018","교통비","성별",남자,29.9
"2018","교통비","성별",여자,28.4
"2018","교통비","연령",15~19세,23.9
"2018","교통비","연령",20대,28.5
"2018","교통비","연령",30대,30.3
"2018","교통비","연령",40대,29.6
"2018","교통비","연령",50대,28.8
"2018","교통비","연령",60대,29.4
"2018","교통비","연령",70세 이상,31.1
"2018","여행 활동비","성별",남자,7.7
"2018","여행 활동비","성별",여자,7.1
"2018","여행 활동비","연령",15~19세,15
"2018","여행 활동비","연령",20대,10.8
"2018","여행 활동비","연령",30대,9
"2018","여행 활동비","연령",40대,6.6
"2018","여행 활동비","연령",50대,5
"2018","여행 활동비","연령",60대,4.3
"2018","여행 활동비","연령",70세 이상,4.6
"2018","쇼핑비","성별",남자,10.2
"2018","쇼핑비","성별",여자,12.3
"2018","쇼핑비","연령",15~19세,15
"2018","쇼핑비","연령",20대,9.1
"2018","쇼핑비","연령",30대,10.2
"2018","쇼핑비","연령",40대,12.2
"2018","쇼핑비","연령",50대,11.8
"2018","쇼핑비","연령",60대,12.1
"2018","쇼핑비","연령",70세 이상,10.4
"2018","여행 회비/모임 회비","성별",남자,4.5
"2018","여행 회비/모임 회비","성별",여자,5.4
"2018","여행 회비/모임 회비","연령",15~19세,3.2
"2018","여행 회비/모임 회비","연령",20대,2.6
"2018","여행 회비/모임 회비","연령",30대,2.3
"2018","여행 회비/모임 회비","연령",40대,3.8
"2018","여행 회비/모임 회비","연령",50대,6.9
"2018","여행 회비/모임 회비","연령",60대,8.3
"2018","여행 회비/모임 회비","연령",70세 이상,8
"2018","여행사 상품 구입 및 가이드 경비","성별",남자,0.6
"2018","여행사 상품 구입 및 가이드 경비","성별",여자,0.8
"2018","여행사 상품 구입 및 가이드 경비","연령",15~19세,0.9
"2018","여행사 상품 구입 및 가이드 경비","연령",20대,0.4
"2018","여행사 상품 구입 및 가이드 경비","연령",30대,0.2
"2018","여행사 상품 구입 및 가이드 경비","연령",40대,0.5
"2018","여행사 상품 구입 및 가이드 경비","연령",50대,1.3
"2018","여행사 상품 구입 및 가이드 경비","연령",60대,1.2
"2018","여행사 상품 구입 및 가이드 경비","연령",70세 이상,0.6
"2018","기타비","성별",남자,0.2
"2018","기타비","성별",여자,0.2
"2018","기타비","연령",15~19세,0.2
"2018","기타비","연령",20대,0.1
"2018","기타비","연령",30대,0.1
"2018","기타비","연령",40대,0.2
"2018","기타비","연령",50대,0.3
"2018","기타비","연령",60대,0.3
"2018","기타비","연령",70세 이상,0.3
"2019","음식점비","성별",남자,47.7
"2019","음식점비","성별",여자,45.6
"2019","음식점비","연령",15~19세,44.1
"2019","음식점비","연령",20대,48.7
"2019","음식점비","연령",30대,48.4
"2019","음식점비","연령",40대,47.1
"2019","음식점비","연령",50대,46.5
"2019","음식점비","연령",60대,43.4
"2019","음식점비","연령",70세 이상,43.9
"2019","교통비","성별",남자,29.8
"2019","교통비","성별",여자,27.9
"2019","교통비","연령",15~19세,25.1
"2019","교통비","연령",20대,27.4
"2019","교통비","연령",30대,29
"2019","교통비","연령",40대,29.4
"2019","교통비","연령",50대,29.8
"2019","교통비","연령",60대,29.8
"2019","교통비","연령",70세 이상,28.9
"2019","여행 활동비","성별",남자,7.3
"2019","여행 활동비","성별",여자,6.4
"2019","여행 활동비","연령",15~19세,12.1
"2019","여행 활동비","연령",20대,9.1
"2019","여행 활동비","연령",30대,8.9
"2019","여행 활동비","연령",40대,6.7
"2019","여행 활동비","연령",50대,4.7
