"시점","통계분류(1)","통계분류(2)",항목,데이터
"2018","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),93.4
"2018","성별","남자",교통수단(항공 선박 철도 버스 등),21
"2018","성별","남자",차량대여/렌트,18.2
"2018","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),5.8
"2018","성별","남자",식당,4.1
"2018","성별","남자",관광명소(유적지 국립공원 등),3.7
"2018","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),1.7
"2018","성별","남자",기타,0.4
"2018","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),94.1
"2018","성별","여자",교통수단(항공 선박 철도 버스 등),23.8
"2018","성별","여자",차량대여/렌트,18.2
"2018","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),5
"2018","성별","여자",식당,2.9
"2018","성별","여자",관광명소(유적지 국립공원 등),2.8
"2018","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),1.9
"2018","성별","여자",기타,0.2
"2018","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),88.5
"2018","연령","15~19세",교통수단(항공 선박 철도 버스 등),35
"2018","연령","15~19세",차량대여/렌트,24.3
"2018","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),9
"2018","연령","15~19세",식당,5.4
"2018","연령","15~19세",관광명소(유적지 국립공원 등),4.2
"2018","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),2.8
"2018","연령","15~19세",기타,0.9
"2018","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),90.5
"2018","연령","20대",교통수단(항공 선박 철도 버스 등),28.8
"2018","연령","20대",차량대여/렌트,24.5
"2018","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),7.8
"2018","연령","20대",식당,1.8
"2018","연령","20대",관광명소(유적지 국립공원 등),2.1
"2018","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.6
"2018","연령","20대",기타,0.3
"2018","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),95.1
"2018","연령","30대",교통수단(항공 선박 철도 버스 등),19.2
"2018","연령","30대",차량대여/렌트,14.9
"2018","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),7.5
"2018","연령","30대",식당,2.7
"2018","연령","30대",관광명소(유적지 국립공원 등),3.6
"2018","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),2.4
"2018","연령","30대",기타,0.5
"2018","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),95.8
"2018","연령","40대",교통수단(항공 선박 철도 버스 등),17
"2018","연령","40대",차량대여/렌트,14.7
"2018","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),4.3
"2018","연령","40대",식당,2.4
"2018","연령","40대",관광명소(유적지 국립공원 등),3.6
"2018","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.9
"2018","연령","40대",기타,0.2
"2018","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),94.6
"2018","연령","50대",교통수단(항공 선박 철도 버스 등),20.1
"2018","연령","50대",차량대여/렌트,18
"2018","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),2.8
"2018","연령","50대",식당,5.8
"2018","연령","50대",관광명소(유적지 국립공원 등),2.5
"2018","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),2.1
"2018","연령","50대",기타,0.1
"2018","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),95
"2018","연령","60대",교통수단(항공 선박 철도 버스 등),22.5
"2018","연령","60대",차량대여/렌트,17.6
"2018","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),4.4
"2018","연령","60대",식당,4.7
"2018","연령","60대",관광명소(유적지 국립공원 등),4.8
"2018","연령","60대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.6
"2018","연령","60대",기타,0.2
"2018","연령","70세 이상",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),91.1
"2018","연령","70세 이상",교통수단(항공 선박 철도 버스 등),31.8
"2018","연령","70세 이상",차량대여/렌트,19.9
"2018","연령","70세 이상",레저시설(놀이시설 스파 스키장 골프장 등),1.9
"2018","연령","70세 이상",식당,5.9
"2018","연령","70세 이상",관광명소(유적지 국립공원 등),3.7
"2018","연령","70세 이상",체험 프로그램(농어촌 체험 생태체험 학습 등),2.2
"2019","성별","남자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),92.8
"2019","성별","남자",교통수단(항공 선박 철도 버스 등),19.3
"2019","성별","남자",차량대여/렌트,8.3
"2019","성별","남자",레저시설(놀이시설 스파 스키장 골프장 등),5.2
"2019","성별","남자",식당,3.2
"2019","성별","남자",관광명소(유적지 국립공원 등),2
"2019","성별","남자",체험 프로그램(농어촌 체험 생태체험 학습 등),1.4
"2019","성별","남자",기타,0.6
"2019","성별","여자",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),93.6
"2019","성별","여자",교통수단(항공 선박 철도 버스 등),20.9
"2019","성별","여자",차량대여/렌트,9.2
"2019","성별","여자",레저시설(놀이시설 스파 스키장 골프장 등),4.6
"2019","성별","여자",식당,2.7
"2019","성별","여자",관광명소(유적지 국립공원 등),2.6
"2019","성별","여자",체험 프로그램(농어촌 체험 생태체험 학습 등),1.7
"2019","성별","여자",기타,0.3
"2019","연령","15~19세",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),85.8
"2019","연령","15~19세",교통수단(항공 선박 철도 버스 등),21.9
"2019","연령","15~19세",차량대여/렌트,3.7
"2019","연령","15~19세",레저시설(놀이시설 스파 스키장 골프장 등),6.1
"2019","연령","15~19세",식당,4.6
"2019","연령","15~19세",관광명소(유적지 국립공원 등),1.9
"2019","연령","15~19세",체험 프로그램(농어촌 체험 생태체험 학습 등),2.2
"2019","연령","15~19세",기타,0.7
"2019","연령","20대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),91.6
"2019","연령","20대",교통수단(항공 선박 철도 버스 등),28.5
"2019","연령","20대",차량대여/렌트,11.2
"2019","연령","20대",레저시설(놀이시설 스파 스키장 골프장 등),5.5
"2019","연령","20대",식당,2
"2019","연령","20대",관광명소(유적지 국립공원 등),1.1
"2019","연령","20대",체험 프로그램(농어촌 체험 생태체험 학습 등),2.5
"2019","연령","20대",기타,0.1
"2019","연령","30대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),94.5
"2019","연령","30대",교통수단(항공 선박 철도 버스 등),16.9
"2019","연령","30대",차량대여/렌트,9.5
"2019","연령","30대",레저시설(놀이시설 스파 스키장 골프장 등),6.8
"2019","연령","30대",식당,1.4
"2019","연령","30대",관광명소(유적지 국립공원 등),2.7
"2019","연령","30대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.4
"2019","연령","30대",기타,0.7
"2019","연령","40대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),95.4
"2019","연령","40대",교통수단(항공 선박 철도 버스 등),14.9
"2019","연령","40대",차량대여/렌트,6.4
"2019","연령","40대",레저시설(놀이시설 스파 스키장 골프장 등),4.8
"2019","연령","40대",식당,2.9
"2019","연령","40대",관광명소(유적지 국립공원 등),1.6
"2019","연령","40대",체험 프로그램(농어촌 체험 생태체험 학습 등),1.8
"2019","연령","40대",기타,0.7
"2019","연령","50대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),94.1
"2019","연령","50대",교통수단(항공 선박 철도 버스 등),18.2
"2019","연령","50대",차량대여/렌트,9.7
"2019","연령","50대",레저시설(놀이시설 스파 스키장 골프장 등),4.3
"2019","연령","50대",식당,3.7
"2019","연령","50대",관광명소(유적지 국립공원 등),3.2
"2019","연령","50대",체험 프로그램(농어촌 체험 생태체험 학습 등),0.9
"2019","연령","50대",기타,0.1
"2019","연령","60대",숙박시설(호텔 콘도미니엄/ 리조트 펜션 유스호스텔 등),92.7
"2019","연령","60대",교통수단(항공 선박 철도 버스 등),21.7
"2019","연령","60대",차량대여/렌트,8.8
"2019","연령","60대",레저시설(놀이시설 스파 스키장 골프장 등),2.1
"2019","연령","60대",식당,4.9
"2019","연령","60대",관광명소(유적지 국립공원 등),3.6
