"시점","통계분류(1)","통계분류(2)",항목,데이터
"2018","전체","소계",숙박시설,75.8
"2018","전체","소계",교통(항공 선박 철도 버스 등),41.9
"2018","전체","소계",차량대여/렌트,37.9
"2018","전체","소계",레저시설,16.6
"2018","전체","소계",기타,0.7
"2018","성별","남자",숙박시설,78.2
"2018","성별","남자",교통(항공 선박 철도 버스 등),36.5
"2018","성별","남자",차량대여/렌트,38.7
"2018","성별","남자",레저시설,11.3
"2018","성별","여자",숙박시설,73.6
"2018","성별","여자",교통(항공 선박 철도 버스 등),46.8
"2018","성별","여자",차량대여/렌트,37.3
"2018","성별","여자",레저시설,21.3
"2018","성별","여자",기타,1.4
"2018","연령","15~19세",숙박시설,86.8
"2018","연령","15~19세",교통(항공 선박 철도 버스 등),38.8
"2018","연령","15~19세",레저시설,43.7
"2018","연령","20대",숙박시설,79.3
"2018","연령","20대",교통(항공 선박 철도 버스 등),32.6
"2018","연령","20대",차량대여/렌트,39.7
"2018","연령","20대",레저시설,31.9
"2018","연령","30대",숙박시설,76.7
"2018","연령","30대",교통(항공 선박 철도 버스 등),47.9
"2018","연령","30대",차량대여/렌트,24.8
"2018","연령","30대",레저시설,6.8
"2018","연령","30대",기타,2.8
"2018","연령","40대",숙박시설,61.9
"2018","연령","40대",교통(항공 선박 철도 버스 등),25
"2018","연령","40대",차량대여/렌트,52.5
"2018","연령","40대",레저시설,21.9
"2018","연령","50대",숙박시설,95.1
"2018","연령","50대",교통(항공 선박 철도 버스 등),44.8
"2018","연령","50대",차량대여/렌트,60.4
"2018","연령","50대",레저시설,6.8
"2018","연령","60대",숙박시설,64.9
"2018","연령","60대",교통(항공 선박 철도 버스 등),100
"2018","연령","60대",차량대여/렌트,11.7
"2018","연령","70세 이상",숙박시설,45.9
"2018","연령","70세 이상",교통(항공 선박 철도 버스 등),79.2
"2019","전체","소계",숙박시설,85.1
"2019","전체","소계",교통(항공 선박 철도 버스 등),46.8
"2019","전체","소계",차량대여/렌트,24.1
"2019","전체","소계",레저시설,10.6
"2019","전체","소계",기타,0.5
"2019","성별","남자",숙박시설,85.8
"2019","성별","남자",교통(항공 선박 철도 버스 등),41.5
"2019","성별","남자",차량대여/렌트,23.5
"2019","성별","남자",레저시설,8.9
"2019","성별","여자",숙박시설,84.5
"2019","성별","여자",교통(항공 선박 철도 버스 등),51.5
"2019","성별","여자",차량대여/렌트,24.7
"2019","성별","여자",레저시설,12.1
"2019","성별","여자",기타,1
"2019","연령","15~19세",숙박시설,100
"2019","연령","15~19세",교통(항공 선박 철도 버스 등),63.8
"2019","연령","15~19세",차량대여/렌트,36.5
"2019","연령","15~19세",레저시설,13.1
"2019","연령","20대",숙박시설,88.5
"2019","연령","20대",교통(항공 선박 철도 버스 등),59
"2019","연령","20대",차량대여/렌트,30.4
"2019","연령","20대",레저시설,11
"2019","연령","30대",숙박시설,80.9
"2019","연령","30대",교통(항공 선박 철도 버스 등),36
"2019","연령","30대",차량대여/렌트,10
"2019","연령","30대",레저시설,12.2
"2019","연령","30대",기타,2.5
"2019","연령","40대",숙박시설,91.6
"2019","연령","40대",교통(항공 선박 철도 버스 등),31
"2019","연령","40대",차량대여/렌트,20.7
"2019","연령","40대",레저시설,11.1
"2019","연령","50대",숙박시설,80.4
"2019","연령","50대",교통(항공 선박 철도 버스 등),54.1
"2019","연령","50대",차량대여/렌트,23.5
"2019","연령","50대",레저시설,9.9
"2019","연령","60대",숙박시설,84.7
"2019","연령","60대",교통(항공 선박 철도 버스 등),43.2
"2019","연령","60대",차량대여/렌트,39.4
"2019","연령","60대",레저시설,4.7
"2019","연령","70세 이상",숙박시설,56.6
"2019","연령","70세 이상",교통(항공 선박 철도 버스 등),56.7
"2019","연령","70세 이상",차량대여/렌트,63.9
"2019","연령","70세 이상",레저시설,6.2
"2020","전체","소계",숙박시설,88.4
"2020","전체","소계",교통(항공 선박 철도 버스 등),36.8
"2020","전체","소계",차량대여/렌트,20.3
"2020","전체","소계",레저시설,13.1
"2020","성별","남자",숙박시설,85.4
"2020","성별","남자",교통(항공 선박 철도 버스 등),43.9
"2020","성별","남자",차량대여/렌트,15.9
"2020","성별","남자",레저시설,19.7
"2020","성별","여자",숙박시설,89.9
"2020","성별","여자",교통(항공 선박 철도 버스 등),33.3
"2020","성별","여자",차량대여/렌트,22.4
"2020","성별","여자",레저시설,9.9
"2020","연령","15~19세",숙박시설,100
"2020","연령","15~19세",교통(항공 선박 철도 버스 등),55.3
"2020","연령","15~19세",차량대여/렌트,55.3
"2020","연령","15~19세",레저시설,17.6
"2020","연령","20대",숙박시설,94.7
"2020","연령","20대",교통(항공 선박 철도 버스 등),38.8
"2020","연령","20대",차량대여/렌트,13.2
"2020","연령","20대",레저시설,23.1
"2020","연령","30대",숙박시설,82.3
"2020","연령","30대",교통(항공 선박 철도 버스 등),47.1
"2020","연령","30대",차량대여/렌트,27.8
