"시점","항목","통계분류(1)",통계분류(2),데이터
"2018","음식점비","성별",남자,33.5
"2018","음식점비","성별",여자,33
"2018","음식점비","연령",15~19세,31.4
"2018","음식점비","연령",20대,33.4
"2018","음식점비","연령",30대,33.7
"2018","음식점비","연령",40대,33.4
"2018","음식점비","연령",50대,33.2
"2018","음식점비","연령",60대,32.7
"2018","음식점비","연령",70세 이상,32.9
"2018","교통비","성별",남자,24.9
"2018","교통비","성별",여자,24.6
"2018","교통비","연령",15~19세,25.5
"2018","교통비","연령",20대,25.2
"2018","교통비","연령",30대,24.1
"2018","교통비","연령",40대,24.8
"2018","교통비","연령",50대,24.2
"2018","교통비","연령",60대,24.7
"2018","교통비","연령",70세 이상,26.8
"2018","숙박비","성별",남자,20.8
"2018","숙박비","성별",여자,19.5
"2018","숙박비","연령",15~19세,19.4
"2018","숙박비","연령",20대,21
"2018","숙박비","연령",30대,21.6
"2018","숙박비","연령",40대,20.8
"2018","숙박비","연령",50대,18.6
"2018","숙박비","연령",60대,19
"2018","숙박비","연령",70세 이상,18.5
"2018","여행사 상품 구입 및 가이드 경비","성별",남자,2.2
"2018","여행사 상품 구입 및 가이드 경비","성별",여자,3.7
"2018","여행사 상품 구입 및 가이드 경비","연령",15~19세,2.8
"2018","여행사 상품 구입 및 가이드 경비","연령",20대,1.8
"2018","여행사 상품 구입 및 가이드 경비","연령",30대,1.2
"2018","여행사 상품 구입 및 가이드 경비","연령",40대,2.9
"2018","여행사 상품 구입 및 가이드 경비","연령",50대,4
"2018","여행사 상품 구입 및 가이드 경비","연령",60대,5.4
"2018","여행사 상품 구입 및 가이드 경비","연령",70세 이상,4.6
"2018","여행 활동비","성별",남자,5.9
"2018","여행 활동비","성별",여자,5.4
"2018","여행 활동비","연령",15~19세,8
"2018","여행 활동비","연령",20대,6.6
"2018","여행 활동비","연령",30대,7.1
"2018","여행 활동비","연령",40대,5.2
"2018","여행 활동비","연령",50대,4.9
"2018","여행 활동비","연령",60대,3.9
"2018","여행 활동비","연령",70세 이상,3.6
"2018","쇼핑비","성별",남자,6.9
"2018","쇼핑비","성별",여자,8.9
"2018","쇼핑비","연령",15~19세,6.2
"2018","쇼핑비","연령",20대,5.6
