"시점","통계분류(1)","통계분류(2)",항목,데이터
"2018","성별","남자",숙박시설,57.5
"2018","성별","남자",교통(항공 선박 철도 버스 등),40.2
"2018","성별","남자",차량대여/렌트,31.8
"2018","성별","남자",레저시설,17.5
"2018","성별","남자",기타,5.9
"2018","성별","여자",숙박시설,61
"2018","성별","여자",교통(항공 선박 철도 버스 등),47.7
"2018","성별","여자",차량대여/렌트,30.9
"2018","성별","여자",레저시설,24.2
"2018","성별","여자",기타,2.8
"2018","연령","15~19세",숙박시설,37.2
"2018","연령","15~19세",교통(항공 선박 철도 버스 등),29.4
"2018","연령","15~19세",레저시설,45.8
"2018","연령","15~19세",기타,17.3
"2018","연령","20대",숙박시설,67.1
"2018","연령","20대",교통(항공 선박 철도 버스 등),27.6
"2018","연령","20대",차량대여/렌트,33.6
"2018","연령","20대",레저시설,40.6
"2018","연령","20대",기타,1.8
"2018","연령","30대",숙박시설,65
"2018","연령","30대",교통(항공 선박 철도 버스 등),40.6
"2018","연령","30대",차량대여/렌트,21
"2018","연령","30대",레저시설,14.5
"2018","연령","30대",기타,8.9
"2018","연령","40대",숙박시설,49.4
"2018","연령","40대",교통(항공 선박 철도 버스 등),40.2
"2018","연령","40대",차량대여/렌트,41.9
"2018","연령","40대",레저시설,17.5
"2018","연령","50대",숙박시설,85.8
"2018","연령","50대",교통(항공 선박 철도 버스 등),50.3
"2018","연령","50대",차량대여/렌트,54.5
"2018","연령","50대",레저시설,6.1
"2018","연령","60대",숙박시설,32.5
"2018","연령","60대",교통(항공 선박 철도 버스 등),93
"2018","연령","60대",차량대여/렌트,16.6
"2018","연령","60대",레저시설,14.5
"2018","연령","60대",기타,7
"2018","연령","70세 이상",숙박시설,34.3
"2018","연령","70세 이상",교통(항공 선박 철도 버스 등),84.4
"2018","연령","70세 이상",차량대여/렌트,25.2
"2019","성별","남자",숙박시설,71
"2019","성별","남자",교통(항공 선박 철도 버스 등),39
"2019","성별","남자",차량대여/렌트,21.6
"2019","성별","남자",레저시설,16.5
"2019","성별","남자",기타,1.4
"2019","성별","여자",숙박시설,65.1
"2019","성별","여자",교통(항공 선박 철도 버스 등),48
"2019","성별","여자",차량대여/렌트,22.1
"2019","성별","여자",레저시설,21
"2019","성별","여자",기타,2.5
"2019","연령","15~19세",숙박시설,64.7
"2019","연령","15~19세",교통(항공 선박 철도 버스 등),41.3
"2019","연령","15~19세",차량대여/렌트,23.6
"2019","연령","15~19세",레저시설,43.7
"2019","연령","20대",숙박시설,66.6
"2019","연령","20대",교통(항공 선박 철도 버스 등),47.1
"2019","연령","20대",차량대여/렌트,26.5
"2019","연령","20대",레저시설,27.4
"2019","연령","20대",기타,1.6
"2019","연령","30대",숙박시설,67.5
"2019","연령","30대",교통(항공 선박 철도 버스 등),33.5
"2019","연령","30대",차량대여/렌트,8.4
"2019","연령","30대",레저시설,20
"2019","연령","30대",기타,5.4
"2019","연령","40대",숙박시설,80.1
"2019","연령","40대",교통(항공 선박 철도 버스 등),31.7
"2019","연령","40대",차량대여/렌트,18.1
"2019","연령","40대",레저시설,17.6
"2019","연령","50대",숙박시설,64.3
"2019","연령","50대",교통(항공 선박 철도 버스 등),54.7
"2019","연령","50대",차량대여/렌트,25.1
