"시점","통계분류(1)","통계분류(2)",항목,데이터
"2019","성별","남자",1명,5
"2019","성별","남자",2~3명,58.8
"2019","성별","남자",4~5명,27.7
"2019","성별","남자",6~10명,3.8
"2019","성별","남자",11~20명,1.4
"2019","성별","남자",21명이상,3.3
"2019","성별","여자",1명,3
"2019","성별","여자",2~3명,56.6
"2019","성별","여자",4~5명,30.1
"2019","성별","여자",6~10명,4.4
"2019","성별","여자",11~20명,2.1
"2019","성별","여자",21명이상,3.7
"2019","연령","15~19세",1명,3.8
"2019","연령","15~19세",2~3명,52.1
"2019","연령","15~19세",4~5명,37.2
"2019","연령","15~19세",6~10명,2.1
"2019","연령","15~19세",11~20명,0.5
"2019","연령","15~19세",21명이상,4.2
"2019","연령","20대",1명,3.5
"2019","연령","20대",2~3명,70.4
"2019","연령","20대",4~5명,23.6
"2019","연령","20대",6~10명,1.9
"2019","연령","20대",11~20명,0.3
"2019","연령","20대",21명이상,0.3
"2019","연령","30대",1명,3.8
"2019","연령","30대",2~3명,69.2
"2019","연령","30대",4~5명,23.6
"2019","연령","30대",6~10명,2.6
"2019","연령","30대",11~20명,0.2
"2019","연령","30대",21명이상,0.5
"2019","연령","40대",1명,4.6
"2019","연령","40대",2~3명,51.4
"2019","연령","40대",4~5명,37.7
"2019","연령","40대",6~10명,3.8
"2019","연령","40대",11~20명,1
"2019","연령","40대",21명이상,1.5
"2019","연령","50대",1명,3.8
"2019","연령","50대",2~3명,52.8
"2019","연령","50대",4~5명,31.8
"2019","연령","50대",6~10명,4.8
"2019","연령","50대",11~20명,2.5
"2019","연령","50대",21명이상,4.3
"2019","연령","60대",1명,4.9
"2019","연령","60대",2~3명,51.6
"2019","연령","60대",4~5명,24.6
"2019","연령","60대",6~10명,7.3
"2019","연령","60대",11~20명,3.9
"2019","연령","60대",21명이상,7.7
"2019","연령","70세 이상",1명,3.3
"2019","연령","70세 이상",2~3명,44.8
"2019","연령","70세 이상",4~5명,26.9
"2019","연령","70세 이상",6~10명,7.3
"2019","연령","70세 이상",11~20명,5.2
"2019","연령","70세 이상",21명이상,12.4
"2019","직업","임금봉급근로자",1명,4.1
"2019","직업","임금봉급근로자",2~3명,63.6
"2019","직업","임금봉급근로자",4~5명,27.1
"2019","직업","임금봉급근로자",6~10명,2.7
"2019","직업","임금봉급근로자",11~20명,0.9
"2019","직업","임금봉급근로자",21명이상,1.7
"2019","직업","고용원있는사업주",1명,4.8
"2019","직업","고용원있는사업주",2~3명,51.9
"2019","직업","고용원있는사업주",4~5명,31.2
"2019","직업","고용원있는사업주",6~10명,7
"2019","직업","고용원있는사업주",11~20명,1
"2019","직업","고용원있는사업주",21명이상,4
"2019","직업","고용원없는자영업자",1명,5.4
"2019","직업","고용원없는자영업자",2~3명,52.7
"2019","직업","고용원없는자영업자",4~5명,28.8
"2019","직업","고용원없는자영업자",6~10명,6
"2019","직업","고용원없는자영업자",11~20명,2.6
"2019","직업","고용원없는자영업자",21명이상,4.5
"2019","직업","무급가족 종사자",1명,4.5
"2019","직업","무급가족 종사자",2~3명,44
"2019","직업","무급가족 종사자",4~5명,27.6
"2019","직업","무급가족 종사자",6~10명,6
"2019","직업","무급가족 종사자",11~20명,5.4
"2019","직업","무급가족 종사자",21명이상,12.4
"2019","직업","전업주부",1명,1.8
"2019","직업","전업주부",2~3명,49.1
"2019","직업","전업주부",4~5명,33.5
"2019","직업","전업주부",6~10명,5.9
"2019","직업","전업주부",11~20명,3.2
"2019","직업","전업주부",21명이상,6.5
"2019","직업","학생",1명,2.7
"2019","직업","학생",2~3명,58.3
"2019","직업","학생",4~5명,33.2
"2019","직업","학생",6~10명,2.9
"2019","직업","학생",11~20명,0.6
"2019","직업","학생",21명이상,2.2
"2019","직업","기타",1명,5.3
"2019","직업","기타",2~3명,49
"2019","직업","기타",4~5명,26.7
"2019","직업","기타",6~10명,6
"2019","직업","기타",11~20명,3.9
"2019","직업","기타",21명이상,9.1
"2019","가구원수","1인",1명,10.4
"2019","가구원수","1인",2~3명,59.9
"2019","가구원수","1인",4~5명,18.2
"2019","가구원수","1인",6~10명,3.4
"2019","가구원수","1인",11~20명,2.4
"2019","가구원수","1인",21명이상,5.6
"2019","가구원수","2인",1명,3.4
"2019","가구원수","2인",2~3명,61.9
"2019","가구원수","2인",4~5명,20.8
"2019","가구원수","2인",6~10명,5.3
"2019","가구원수","2인",11~20명,2.6
"2019","가구원수","2인",21명이상,6.1
"2019","가구원수","3인이상",1명,3
"2019","가구원수","3인이상",2~3명,55.6
"2019","가구원수","3인이상",4~5명,34.2
"2019","가구원수","3인이상",6~10명,3.8
"2019","가구원수","3인이상",11~20명,1.3
"2019","가구원수","3인이상",21명이상,2.1
"2020","성별","남자",1명,5.8
"2020","성별","남자",2~3명,62.3
"2020","성별","남자",4~5명,28.2
"2020","성별","남자",6~10명,3.3
"2020","성별","남자",11~20명,0.2
"2020","성별","남자",21명이상,0.2
"2020","성별","여자",1명,3
"2020","성별","여자",2~3명,60.6
"2020","성별","여자",4~5명,33.2
"2020","성별","여자",6~10명,2.7
"2020","성별","여자",11~20명,0.3
"2020","성별","여자",21명이상,0.2
"2020","연령","15~19세",1명,0.9
"2020","연령","15~19세",2~3명,44.8
"2020","연령","15~19세",4~5명,52.6
"2020","연령","15~19세",6~10명,1.8
"2020","연령","20대",1명,3.7
"2020","연령","20대",2~3명,68.7
"2020","연령","20대",4~5명,26.3
"2020","연령","20대",6~10명,1.4
"2020","연령","30대",1명,5.2
"2020","연령","30대",2~3명,75.5
"2020","연령","30대",4~5명,18.1
"2020","연령","30대",6~10명,1.2
"2020","연령","30대",11~20명,0
"2020","연령","40대",1명,3.4
"2020","연령","40대",2~3명,51.5
"2020","연령","40대",4~5명,40.2
"2020","연령","40대",6~10명,4.6
"2020","연령","40대",11~20명,0.3
"2020","연령","40대",21명이상,0
"2020","연령","50대",1명,5.7
"2020","연령","50대",2~3명,56.8
"2020","연령","50대",4~5명,33.5
"2020","연령","50대",6~10명,3.2
"2020","연령","50대",11~20명,0.5
"2020","연령","50대",21명이상,0.3
"2020","연령","60대",1명,4.5
"2020","연령","60대",2~3명,58.6
"2020","연령","60대",4~5명,30.1
"2020","연령","60대",6~10명,5.5
"2020","연령","60대",11~20명,0.6
"2020","연령","60대",21명이상,0.6
"2020","연령","70세 이상",1명,4.6
"2020","연령","70세 이상",2~3명,50.9
"2020","연령","70세 이상",4~5명,38.4
"2020","연령","70세 이상",6~10명,4.7
"2020","연령","70세 이상",11~20명,0.7
"2020","연령","70세 이상",21명이상,0.6
"2020","직업","임금봉급근로자",1명,4.8
"2020","직업","임금봉급근로자",2~3명,65
"2020","직업","임금봉급근로자",4~5명,27.1
"2020","직업","임금봉급근로자",6~10명,2.8
"2020","직업","임금봉급근로자",11~20명,0.2
"2020","직업","임금봉급근로자",21명이상,0
"2020","직업","고용원있는사업주",1명,4
"2020","직업","고용원있는사업주",2~3명,51
"2020","직업","고용원있는사업주",4~5명,39.8
"2020","직업","고용원있는사업주",6~10명,3.4
"2020","직업","고용원있는사업주",11~20명,1.3
"2020","직업","고용원있는사업주",21명이상,0.5
"2020","직업","고용원없는자영업자",1명,5.6
"2020","직업","고용원없는자영업자",2~3명,58.1
"2020","직업","고용원없는자영업자",4~5명,31.2
"2020","직업","고용원없는자영업자",6~10명,4.2
"2020","직업","고용원없는자영업자",11~20명,0.4
"2020","직업","고용원없는자영업자",21명이상,0.6
"2020","직업","무급가족 종사자",1명,0.6
"2020","직업","무급가족 종사자",2~3명,52.6
"2020","직업","무급가족 종사자",4~5명,43.8
"2020","직업","무급가족 종사자",6~10명,3
"2020","직업","전업주부",1명,2.4
"2020","직업","전업주부",2~3명,57.9
"2020","직업","전업주부",4~5명,36.7
"2020","직업","전업주부",6~10명,2.5
"2020","직업","전업주부",11~20명,0.2
"2020","직업","전업주부",21명이상,0.3
"2020","직업","학생",1명,1.1
"2020","직업","학생",2~3명,56.8
"2020","직업","학생",4~5명,40.2
"2020","직업","학생",6~10명,1.8
"2020","직업","기타",1명,9
"2020","직업","기타",2~3명,58.6
"2020","직업","기타",4~5명,28.4
"2020","직업","기타",6~10명,3.4
"2020","직업","기타",11~20명,0.3
"2020","직업","기타",21명이상,0.4
"2020","가구원수","1인",1명,11.8
"2020","가구원수","1인",2~3명,64
"2020","가구원수","1인",4~5명,20.3
"2020","가구원수","1인",6~10명,3
"2020","가구원수","1인",11~20명,0.7
"2020","가구원수","1인",21명이상,0.2
"2020","가구원수","2인",1명,4.2
"2020","가구원수","2인",2~3명,70.2
"2020","가구원수","2인",4~5명,21.1
"2020","가구원수","2인",6~10명,3.6
"2020","가구원수","2인",11~20명,0.4
"2020","가구원수","2인",21명이상,0.4
"2020","가구원수","3인이상",1명,2.9
"2020","가구원수","3인이상",2~3명,57.8
"2020","가구원수","3인이상",4~5명,36.3
"2020","가구원수","3인이상",6~10명,2.8
"2020","가구원수","3인이상",11~20명,0.1
"2020","가구원수","3인이상",21명이상,0.1
"2021","성별","남자",1명,6.4
"2021","성별","남자",2~3명,66.7
"2021","성별","남자",4~5명,25.6
"2021","성별","남자",6~10명,1.2
"2021","성별","남자",11~20명,0.1
"2021","성별","남자",21명이상,0
"2021","성별","여자",1명,2.4
"2021","성별","여자",2~3명,66.3
"2021","성별","여자",4~5명,30.2
"2021","성별","여자",6~10명,1.1
"2021","성별","여자",21명이상,0.1
"2021","연령","15~19세",1명,1.5
"2021","연령","15~19세",2~3명,50.1
"2021","연령","15~19세",4~5명,45.8
"2021","연령","15~19세",6~10명,2.6
"2021","연령","20대",1명,3.4
"2021","연령","20대",2~3명,75.9
"2021","연령","20대",4~5명,20.1
"2021","연령","20대",6~10명,0.6
"2021","연령","30대",1명,5
"2021","연령","30대",2~3명,76.9
"2021","연령","30대",4~5명,17.4
