"시점","통계분류(1)","통계분류(2)",항목,데이터
"2022","전체","소계",1명,4
"2022","전체","소계",2~3명,50.6
"2022","전체","소계",4~5명,38.7
"2022","전체","소계",6~10명,5.8
"2022","전체","소계",11~20명,0.5
"2022","전체","소계",21명이상,0.5
"2022","성별","남자",1명,4.9
"2022","성별","남자",2~3명,50.6
"2022","성별","남자",4~5명,37.6
"2022","성별","남자",6~10명,6.1
"2022","성별","남자",11~20명,0.5
"2022","성별","남자",21명이상,0.3
"2022","성별","여자",1명,3.1
"2022","성별","여자",2~3명,50.6
"2022","성별","여자",4~5명,39.7
"2022","성별","여자",6~10명,5.5
"2022","성별","여자",11~20명,0.4
"2022","성별","여자",21명이상,0.6
"2022","연령","15~19세",1명,2.5
"2022","연령","15~19세",2~3명,32.8
"2022","연령","15~19세",4~5명,58.4
"2022","연령","15~19세",6~10명,3.3
"2022","연령","15~19세",11~20명,0.8
"2022","연령","15~19세",21명이상,2.2
"2022","연령","20대",1명,5.4
"2022","연령","20대",2~3명,57.1
"2022","연령","20대",4~5명,34.4
"2022","연령","20대",6~10명,2.9
"2022","연령","20대",11~20명,0.2
"2022","연령","20대",21명이상,0.1
"2022","연령","30대",1명,4.9
"2022","연령","30대",2~3명,67.1
"2022","연령","30대",4~5명,23
"2022","연령","30대",6~10명,4.8
"2022","연령","30대",11~20명,0.1
"2022","연령","30대",21명이상,0.1
"2022","연령","40대",1명,2.7
"2022","연령","40대",2~3명,41.9
"2022","연령","40대",4~5명,49.7
"2022","연령","40대",6~10명,4.6
"2022","연령","40대",11~20명,0.5
"2022","연령","40대",21명이상,0.5
"2022","연령","50대",1명,3.2
"2022","연령","50대",2~3명,45.5
"2022","연령","50대",4~5명,43.5
"2022","연령","50대",6~10명,6.6
"2022","연령","50대",11~20명,0.6
"2022","연령","50대",21명이상,0.6
"2022","연령","60대",1명,4.1
"2022","연령","60대",2~3명,43.2
"2022","연령","60대",4~5명,38.2
"2022","연령","60대",6~10명,12.3
"2022","연령","60대",11~20명,1.4
"2022","연령","60대",21명이상,0.7
"2022","연령","70세 이상",1명,4.2
"2022","연령","70세 이상",2~3명,42.8
"2022","연령","70세 이상",4~5명,41.5
"2022","연령","70세 이상",6~10명,9.6
"2022","연령","70세 이상",11~20명,0.2
"2022","연령","70세 이상",21명이상,1.7
"2022","직업","임금봉급근로자",1명,4
"2022","직업","임금봉급근로자",2~3명,54.2
"2022","직업","임금봉급근로자",4~5명,36.6
"2022","직업","임금봉급근로자",6~10명,4.6
"2022","직업","임금봉급근로자",11~20명,0.3
"2022","직업","임금봉급근로자",21명이상,0.2
"2022","직업","고용원있는사업주",1명,2
"2022","직업","고용원있는사업주",2~3명,44.1
"2022","직업","고용원있는사업주",4~5명,46.7
"2022","직업","고용원있는사업주",6~10명,5.9
"2022","직업","고용원있는사업주",11~20명,0.8
"2022","직업","고용원있는사업주",21명이상,0.5
"2022","직업","고용원없는자영업자",1명,4.8
"2022","직업","고용원없는자영업자",2~3명,46.4
"2022","직업","고용원없는자영업자",4~5명,40.4
"2022","직업","고용원없는자영업자",6~10명,6.8
"2022","직업","고용원없는자영업자",11~20명,0.9
"2022","직업","고용원없는자영업자",21명이상,0.7
"2022","직업","무급가족 종사자",1명,0.4
"2022","직업","무급가족 종사자",2~3명,53.1
"2022","직업","무급가족 종사자",4~5명,27.5
"2022","직업","무급가족 종사자",6~10명,14.1
"2022","직업","무급가족 종사자",11~20명,2.1
"2022","직업","무급가족 종사자",21명이상,2.7
"2022","직업","전업주부",1명,2
"2022","직업","전업주부",2~3명,44.6
"2022","직업","전업주부",4~5명,43.6
"2022","직업","전업주부",6~10명,8.7
"2022","직업","전업주부",11~20명,0.4
"2022","직업","전업주부",21명이상,0.8
"2022","직업","학생",1명,5.1
"2022","직업","학생",2~3명,40.4
"2022","직업","학생",4~5명,47.2
"2022","직업","학생",6~10명,5.8
"2022","직업","학생",11~20명,0.4
"2022","직업","학생",21명이상,1.1
"2022","직업","기타",1명,7.4
"2022","직업","기타",2~3명,52.6
"2022","직업","기타",4~5명,30.2
"2022","직업","기타",6~10명,8.7
"2022","직업","기타",21명이상,1.1
"2022","가구원수","1인",1명,16.4
"2022","가구원수","1인",2~3명,54.4
"2022","가구원수","1인",4~5명,23.5
"2022","가구원수","1인",6~10명,5.1
"2022","가구원수","1인",11~20명,0.4
"2022","가구원수","1인",21명이상,0.2
"2022","가구원수","2인",1명,2.1
"2022","가구원수","2인",2~3명,62.8
"2022","가구원수","2인",4~5명,26.5
"2022","가구원수","2인",6~10명,7.2
"2022","가구원수","2인",11~20명,0.5
"2022","가구원수","2인",21명이상,0.9
"2022","가구원수","3인이상",1명,2.2
"2022","가구원수","3인이상",2~3명,46.4
"2022","가구원수","3인이상",4~5명,45
"2022","가구원수","3인이상",6~10명,5.5
"2022","가구원수","3인이상",11~20명,0.5
"2022","가구원수","3인이상",21명이상,0.4
